,State Legislative Assembly (Vidhan Sabha),Seat/state capital,Number of constituencies,Ruling party,Current house
0,Andhra Pradesh  ,Amaravati,175,YSR Congress Party,Fifteenth
1,Arunachal Pradesh  ,Itanagar,60,Bharatiya Janata Party,Seventh
2,Assam  ,Dispur,126,Bharatiya Janata Party,Thirteenth
3,Bihar  ,Patna,243,Janata Dal (United),Seventeenth
4,Chhattisgarh  ,Naya Raipur,90,Indian National Congress,Fifth
5,Delhi  ,New Delhi,70,Aam Aadmi Party,Seventh
6,Goa  ,Panaji,40,Bharatiya Janata Party,Seventh
7,Gujarat  ,Gandhinagar,182,Bharatiya Janata Party,Fourteenth
8,Haryana  ,Chandigarh,90,Bharatiya Janata Party,Fourteenth
9,Himachal Pradesh  ,Shimla (summer) Dharamshala (winter),68,Bharatiya Janata Party,Thirteenth
10,Jammu and Kashmir  ,Srinagar (summer) Jammu (winter),85†,N/A(President's rule),N/A(President's rule)
11,Jharkhand  ,Ranchi,81,Jharkhand Mukti Morcha,Fifth
12,Karnataka  ,Bangalore (summer) Belgaum (winter),224,Bharatiya Janata Party,Fifteenth
13,Kerala  ,Thiruvananthapuram,140,Communist Party of India (Marxist),Fourteenth
14,Madhya Pradesh  ,Bhopal,230,Bharatiya Janata Party,Fifteenth
15,Maharashtra  ,Mumbai (summer) Nagpur (winter),288,Shiv Sena,Fourteenth
16,Manipur  ,Imphal,60,Bharatiya Janata Party,Twelfth
17,Meghalaya  ,Shillong,60,National People's Party,Tenth
18,Mizoram  ,Aizawl,40,Mizo National Front,Seventh
19,Nagaland  ,Kohima,60,Nationalist Democratic Progressive Party,Thirteenth
20,Odisha  ,Bhubaneshwar,147,Biju Janata Dal,Sixteenth
21,Puducherry  ,Puducherry,33‡,Indian National Congress,Fourteenth
22,Punjab  ,Chandigarh,117,Indian National Congress,Fifteenth
23,Rajasthan  ,Jaipur,200,Indian National Congress,Fifteenth
24,Sikkim  ,Gangtok,32,Sikkim Krantikari Morcha,Tenth
25,Tamil Nadu  ,Chennai,234,All India Anna Dravida Munnetra Kazhagam,Fifteenth
26,Telangana  ,Hyderabad,119,Telangana Rashtra Samithi,Second
27,Tripura  ,Agartala,60,Bharatiya Janata Party,Twelfth
28,Uttar Pradesh  ,Lucknow,403,Bharatiya Janata Party,Seventeenth
29,Uttarakhand  ,Gairsain (summer) Dehradun (winter),70,Bharatiya Janata Party,Fourth
30,West Bengal  ,Kolkata,294,All India Trinamool Congress,Sixteenth
